zencart仿站技能要素	50.00	新念力在线课堂		学校信用： 学生满意度：100.00% 学生数：295 课程数：14 收藏数：10 建校日期：2014-02-11 校长：1251233090@qq.co	No category path	http://web.img.chuanke.com/course/2014-02/24/2dfc83df3648a25543f34e540d284d91.jpg	No video length	No start date	2015年10月31日	No video length	5课时	15天	no 3rd platform	http://www.chuanke.com/s1420430.html	新念力在线课堂	no type	0%	0	0	no desc	no outline	http://www.chuanke.com/1420430-97126.html	instruction	0	
霍金的宇宙	0.00	神秘莫测的宇宙		学校信用： 学生满意度：99.91% 学生数：1034 课程数：3 收藏数：14 建校日期：2012-09-03 校长：小小鸟	No category path	http://web.img.chuanke.com/course/2012-09/03/c7d09a7e1b01cd80310e0589fdc1c44e.jpg	No video length	No start date	2017年4月26日	No video length	6课时	15天	no 3rd platform	http://www.chuanke.com/s1095070.html	神秘莫测的宇宙	no type	100%	693	804	no desc	no outline	http://www.chuanke.com/1095070-83546.html	instruction	804	
会计入门课件	100.00	创名会计培训		学校信用： 学生满意度：98.01% 学生数：401 课程数：4 收藏数：4 建校日期：2012-09-19 校长：会计老师：贺嵩	No category path	http://web.img.chuanke.com/course/2014-08/14/2f9a9b545ccb1aa663ff62fd926e7578.jpg	No video length	No start date	2023年6月30日	No video length	20课时	15天	no 3rd platform	http://www.chuanke.com/s1063464.html	创名会计培训	no type	98.01%	251	391	no desc	no outline	http://www.chuanke.com/1063464-89718.html	instruction	391	
linux进程创建流程	1.00	英本教育		学校信用： 学生满意度：96.67% 学生数：143 课程数：13 收藏数：8 建校日期：2014-02-16 校长：443575921	No category path	http://web.img.chuanke.com/course/2014-10/20/14560c26b24e7ef3228cd20a4d0f84ce.jpg	No video length	No start date	2017年10月20日	No video length	1课时	15天	no 3rd platform	http://www.chuanke.com/s1280869.html	英本教育	no type	0%	0	0	no desc	no outline	http://www.chuanke.com/1280869-114589.html	instruction	0	
linux内核源码编译及剪裁内核	1.00	英本教育		学校信用： 学生满意度：96.67% 学生数：143 课程数：13 收藏数：8 建校日期：2014-02-16 校长：443575921	No category path	http://web.img.chuanke.com/course/2014-10/20/f5a699970013d79ad1bb89e44fba1565.jpg	No video length	No start date	2017年10月20日	No video length	2课时	15天	no 3rd platform	http://www.chuanke.com/s1280869.html	英本教育	no type	0%	0	0	no desc	no outline	http://www.chuanke.com/1280869-114583.html	instruction	0	
多学多用：DIY膜法工坊	0.00	多学多用		学校信用： 学生满意度：99.96% 学生数：130538 课程数：73 收藏数：548 建校日期：2014-08-28 校长：多学多用	No category path	http://web.img.chuanke.com/course/2014-12/26/d2795f3c395415adee963826bafde09b.jpg	No video length	No start date	2019年1月31日	No video length	7课时	15天	no 3rd platform	http://www.chuanke.com/s1960305.html	多学多用	no type	99.76%	1685	1923	no desc	no outline	http://www.chuanke.com/1960305-123510.html	instruction	1923	
韩语零基础入门(经典课程)	0.00	世宗韩语网校		学校信用： 学生满意度：99.91% 学生数：36173 课程数：30 收藏数：367 建校日期：2012-12-19 校长：世宗韩语网校	No category path	http://web.img.chuanke.com/course/2013-11/05/597a5e0600cf8937b623e4d78ca9b1cf.gif	No video length	No start date	2018年10月10日	No video length	15课时	15天	no 3rd platform	http://www.chuanke.com/s1036575.html	世宗韩语网校	no type	99.88%	16905	26579	no desc	no outline	http://www.chuanke.com/1036575-93444.html	instruction	26579	
Photoshop教程，十天学会PS教程，PS视频教程	32.00	今拓课堂		学校信用： 学生满意度：100.00% 学生数：165 课程数：5 收藏数：7 建校日期：2013-07-27 校长：今拓课堂	No category path	http://web.img.chuanke.com/course/2014-04/28/2e4a29845c5eb98cfcdc0a01ed3be7ef.jpg	No video length	No start date	2015年7月30日	No video length	16课时	15天	no 3rd platform	http://www.chuanke.com/s1290381.html	今拓课堂	no type	0%	0	0	no desc	no outline	http://www.chuanke.com/1290381-91660.html	instruction	0	
云计算深入浅出Xen虚拟化（实时答疑，云计算视频教程）	29.90	英本教育		学校信用： 学生满意度：96.67% 学生数：143 课程数：13 收藏数：8 建校日期：2014-02-16 校长：443575921	No category path	http://web.img.chuanke.com/course/2014-10/07/e46658a64714ba9a4061891ef0bfadbf.jpg	No video length	No start date	2017年10月10日	No video length	20课时	15天	no 3rd platform	http://www.chuanke.com/s1280869.html	英本教育	no type	0%	0	0	no desc	no outline	http://www.chuanke.com/1280869-100032.html	instruction	0	
6年级小升初奥数全讲解（全国通用）	60.00	穆老师数学课堂		学校信用： 学生满意度：99.53% 学生数：285 课程数：12 收藏数：4 建校日期：2013-12-26 校长：muweihao	No category path	http://web.img.chuanke.com/course/2014-01/11/f53f0d9df7bd5e3594471dae3cedc968.jpg	No video length	No start date	2019年1月11日	No video length	200课时	15天	no 3rd platform	http://www.chuanke.com/s1342530.html	穆老师数学课堂	no type	98.92%	93	98	no desc	no outline	http://www.chuanke.com/1342530-96330.html	instruction	98	
