优秀的iOS、Android自动化测试框架Appium,¥ 59.00,黄延胜,测试架构师,先后工作于阿里巴巴，百度，创新工场，testin 目前为oneapm的测试架构师． ８年以上的行业一线测试实践经验，专注于测试行业的技术和实践研究与应用．,,No category path,/files/course/2015/03-25/142817115885019097.jpg?osf_v5.1.7,No video length,No start date,No end date,No expire date,no 3rd platform,no teacher rating,school URL,school Name,type,stars-0,(0人),54人,课程背景 Appium是一个开源、跨平台的测试框架，可以用来测试原生及混合的移动端应用。Appium支持IOS、Android及FirefoxOS平台。Appium使用WebDriver的json wire协议，来驱动Apple系统的UIAutomation库、Android系统的UIAutomator框架。Appium对IOS系统的支持得益于Dan Cuellar’s对于IOS自动化的研究。Appium也集成了Selendroid，来支持老android版本。 使用Appium进行自动化测试有两个好处： 1. Appium在不同平台中使用了标准的自动化APIs，所以在跨平台时，不需要重新编译或者修改自己的应用。 2. Appium支持Selenium WebDriver支持的所有语言，如java、Object-C、JavaScript、Php、Python、Ruby、C#、Clojure，或者Perl语言，更可以使用Selenium WebDriver的Api。Appium支持任何一种测试框架。如果只使用Apple的UIAutomation，我们只能用javascript来编写测试用例，而且只能用Instruction来运行测试用例。同样，如果只使用Google的UIAutomation，我们就只能用java来编写测试用例。Appium实现了真正的跨平台自动化测试。,课程大纲 1. 移动测试介绍 2. appium原理 3. appium使用场景 4. appium使用方法 5. appium的优缺点 6. 移动测试实践建议,http://www.osforce.cn/course/332,instruction,collected_count,purchased_count
基于全球云平台的SaaS业务面临的挑战与难题,免费,何全,,何全，多备份技术总监，先后就职于盛大、UCloud、天品网、多备份等互联网企业，先后任职于技术主管、开发经理、技术总监等职位，拥有丰富的从后端服务到前端用户层的一线开发经验，对各种云平台基础设施的研发及部署有丰富的实战经验。,,No category path,/files/course/2015/03-20/2116248d5154603160.jpg?osf_v5.1.7,No video length,No start date,No end date,No expire date,no 3rd platform,no teacher rating,school URL,school Name,type,stars-0,(0人),26人,课程背景 2014年是云计算发展如火如荼的一年。据中国产业投资决策网提供的数据，中国云计算市场2014年规模达1174.1亿元，较上年增长了81.4%。 在云计算这样的环境下，2014年企业级SaaS服务和企业移动应用便成了最大亮点。传统管理厂商增长乏力，如在线ERP、CRM、OA、在线客户和网络营销;而工具型SaaS厂商大行其道，增长快速。如企业管理软件，APM应用性能管理，应用服务器安全等。,课程大纲 多备份是什么？ 多备份SaaS架构：需求挑战 多备份构建思路 多备份整体架构 多备份架构-实际部署 系统设计优化挑战点,http://www.osforce.cn/course/331,instruction,collected_count,purchased_count
微信公众平台开发基础,¥ 99.00,韦玮,工信部高级网络营销师，百度知道资深创业行家，国家专利发明人,"本期嘉宾：韦玮 工信部高级网络营销师，百度知道资深创业行家，国家专利发明人 千月枫痕文学网站长，百度知道资深创业行家[2] ，国家专利发明者[3] ，51CTO签约讲师[4] ,极客学院实战布道师，CSDN学院签约讲师，国家工信部高级网络营销师，按键精灵六级认证开发者",,No category path,/files/course/2015/03-31/155156cdc8e9161488.jpg?osf_v5.1.7,No video length,No start date,No end date,No expire date,no 3rd platform,no teacher rating,school URL,school Name,type,stars-0,(0人),18人,课程背景 微信开发即微信公众平台开发，将企业信息、服务、活动等内容通过微信网页的方式进行表现，用户通过简单的设置，就能生成微信3G网站。通过微信公众平台将企业品牌展示给微信用户，减少宣传成本，建立企业与消费者、客户的一对一互动和沟通，将消费者接入企业CRM系统，进行促销、推广、宣传、售后等。 微信已经全面进入人们的生活，微信公众平台也就此兴起，本期课程韦老师将带领大家一起学习微信公众平台的开发。 让学员学会如何开发微信公众平台。,课程大纲 一、十分钟认识微信公众平台 二、微信公众平台如何进行数据交互 三、了解开发工具-Zendstudio 四、了解开发工具-AppServ 五、开发编程技术基础讲解1 六、开发编程技术基础讲解2 七、开发环境的部署-BAE 八、开发环境的部署-SAE,http://www.osforce.cn/course/337,instruction,collected_count,purchased_count
人机交互新时代：自然用户界面,免费,赵戈,Adobe ACP，MVP，社区版主，Flash专家咨询委员会、创意大学专家委员会委员，运维管理中心教育专家；同济大学校外专家。​,十多年，始终致力于基于Flash平台的研究、设计开发、认证培训和宣传推广。,,No category path,/files/course/2015/03-27/151956c9efa2084498.jpg?osf_v5.1.7,No video length,No start date,No end date,No expire date,no 3rd platform,no teacher rating,school URL,school Name,type,stars-0,(0人),56人,课程背景 自然用户界面（Natural User Interface，NUI）是新一代的人机交互界面。是指让人们用自然的方式实现人机交互的用户界面。自然用户界面基于人类本能的交互模式，如视觉、声音、运动、表情、肢体语言等。 虽然大众对这次即将到来的大革新依然无知无觉，微软、谷歌、英特尔、苹果等业界巨头却都在加大投入，不断推出NUI产品，力争抢占先机。有创意和眼光的小公司也在努力推出各种小型智能产品，抢占市场。 作为设计师与开发者的我们，不能再继续无视NUI的存在。否则当NUI大潮普及的那一天到来，如果你还在迷恋鼠标、键盘和触摸屏，如果你还只懂得GUI设计与开发，那就悲剧了……,课程大纲 一、自然用户界面的概念 1. 定义 2. 意义 3. 组成 4. 标准 5. 应用 6. 历史 7. 未来 二、基于自然用户界面的产品设计与开发项目实例 1. 开发环境配置 2. 常用软硬件介绍 3. 项目实战（请提前准备好Kinect、Leap Motion、RealSense等硬件设备）,http://www.osforce.cn/course/336,instruction,collected_count,purchased_count
I18N 与 Language Encoding,¥ 59.00,翁嘉颀,Openfind 资深副总经理，台湾大学资讯工程系毕业，纽约州立大学硕士,"从 12 岁开始坐在电脑前面，18 岁开始编程，至今超过 26 年，用过语言超过 30 种。熟悉搜索引擎，邮件系统，邮件安全，个等级工程师培训，Solid programming。Openfind 资深副总经理，台湾大学资讯工程系毕业，纽约州立大学硕士。从 12 岁开始坐在电脑前面，18岁开始编程，至今编程超过 26 年，用过超过 30 种语言。专长为搜索引擎，邮件安全，邮件系统，Algorithm, AI, Programming language, 以及各种工程师训练将近 20 年。",,No category path,/files/course/2015/03-26/140902ec9498555277.jpg?osf_v5.1.7,No video length,No start date,No end date,No expire date,no 3rd platform,no teacher rating,school URL,school Name,type,stars-5,(1人),115人,课程背景 相信很多人听过 GB2312，Unicode，UTF-8，UCS-2，UCS-4，UTF-16，UTF-32，但是到底什么是什么？哪来的那么多名词，总是看得眼花缭乱。 iPhone 手机上的联络人是什么编码? 小米手机上的联络上又是什么编码？如果想要在不同手机上同步这些联络人信息，需要额外注意吗? 开发一个中文软件花了 5 个月，如果要转换成英文版需要额外花多少时间？法文版？泰文版？韩文版？还有最可怕的阿拉伯文跟希伯来文(都是由右到左)该怎么办?,"课程大纲 GB2312，Big5，Unicode UCS2，Unicode UTF-8 Big Endian 以及 Little Endian char, wchar_t, 以及 Windows 的 TCHAR 文档的 BOM 如何知道一个系统的编码格式？ 编码的转换方式 I18N 精神 L10N 做法",http://www.osforce.cn/course/334,instruction,collected_count,purchased_count
"""3分钟,为你的App加入IM功能""背后的技术抉择",¥ 59.00,李淼,,本期嘉宾：李淼 2007年入职北京新媒传信科技有限公司，T5专家，十年的程序员 曾从事过飞信社区，飞信开发平台，飞信即时通讯核心业务开发和设计工作。融云整体技术架构设计者。拥有多年的大数量、高负载系统开发和设计经验，在飞信项目期间曾经历过每日上亿次的消息吞吐，达到99.95%的系统可用性。目前担任融云的技术架构负责人，致力将融云打造成为一个高可用，伸缩性强的云计算平台。,,No category path,/files/course/2014/07-30/08570623af97254340.jpg?osf_v5.1.7,No video length,No start date,No end date,No expire date,no 3rd platform,no teacher rating,school URL,school Name,type,stars-0,(0人),454人,课程背景 融云，这个名字你可能还很陌生，但提到中国移动的飞信，相信你一定听过了，开发和运营飞信的背后团队是神州泰岳。 融云就是神州泰岳团队经过七年飞信的磨砺，在进入移动云时代今天，出鞘的利剑。 融云， 可以让移动App快速的加入移动IM功能，具有单聊、讨论组、群组、聊天室、VOIP的功能。让用户不再跳出你的App就可以实现即时通讯，让你的App更加有粘性。 本次开源力量公开课，非常荣幸的邀请到融云的设计师-李淼，他具有近10年的即时通讯领域技术经验，纵观国内，相信在即时通讯领域无多少人可以出其右，来讲述实现融云背后的故事，艰难的技术抉择，曾经踩过的坑点......    前人栽树，后人乘凉，感谢融云及互联网的分享精神，让我们有机会跟随李淼学习，让我们一起来期待本次公开课吧。,课程大纲 1.即时通讯技术基本原理 2.即时通讯协议对比分析 3.移动网络与传统网络下基本差异 4.在移动网络下如何保证消息的可靠 5.如何选择即时通讯云服务 6.融云客户端SDK使用演示,http://www.osforce.cn/course/209,instruction,collected_count,purchased_count
解密通讯级PaaS服务,免费,韩冬,北京容联易通信息技术有限公司常务副总经理,本期嘉宾：韩冬 容联·云通讯|副总经理。 北京容联易通信息技术有限公司常务副总经理，2000年西安交大计算机系统结构硕士毕业，2004年加入高阳圣思园，主要负责互联网中心技术平台，2012年任职容联易通常务副总经理，负责容联.云通讯项目。,,No category path,/files/course/2014/12-01/001821d552dd259949.jpg?osf_v5.1.7,No video length,No start date,No end date,No expire date,no 3rd platform,no teacher rating,school URL,school Name,type,stars-0,(0人),93人,no desc,no outline,http://www.osforce.cn/course/274,instruction,collected_count,purchased_count
APP邂逅即时通讯云,免费,杨攀,融云CTO,本期嘉宾：杨攀 神州泰岳旗下融云业务的 CTO，负责融云的产品和研发工作。融云是国内首家专业的即时通讯云服务提供商，专注为互联网、移动互联网开发者提供即时通讯基础能力和云端服务。 国内第一批 .Net 开发者、MCSD 讲师、开源项目作者，参与过微软 MSN Messenger Mobile China 业务的开发和管理工作。加入神州泰岳后，历任技术总监、总监、高级总监，负责过飞信社区、开放平台和即时通讯核心业务的管理工作,,No category path,/files/course/2014/11-23/22045579f35f902768.jpg?osf_v5.1.7,No video length,No start date,No end date,No expire date,no 3rd platform,no teacher rating,school URL,school Name,type,stars-0,(0人),43人,no desc,no outline,http://www.osforce.cn/course/268,instruction,collected_count,purchased_count
为APP增加IM与VOIP功能开发指南,免费,郝飞,亲加通讯云CTO。,本期嘉宾：赫飞 亲加通讯云CTO。15年多媒体软件平台架构、音视频编解码、VOIP、IM 等方面的产品研发工作经历，专注于研发移动互联网流媒体通讯整体解决方案。,,No category path,/files/course/2014/11-16/121137970b6c155624.png?osf_v5.1.7,No video length,No start date,No end date,No expire date,no 3rd platform,no teacher rating,school URL,school Name,type,stars-5,(3人),506人,课程背景 社交化正成为APP发展的新浪潮，很多开发者都想为自己的应用增加一些IM（即时通讯）或VOIP（网络电话）功能，但总是遇到一系列问题，譬如流量消耗高、消息延迟大、消息易丢失、系统不稳定等等。作为国内领先的通讯云服务提供商，亲加通讯云首席技术官郝飞，将从整体架构、通讯协议等多个方面，详细阐述IM及VOIP相关技术问题及解决方法。,课程大纲 1、网络通讯基本原理 2、高并发服务器开发指南 3、大型IM系统架构演变 4、移动端开发指南与优化 5、VOIP开发指南,http://www.osforce.cn/course/265,instruction,collected_count,purchased_count
C 语言进阶,¥ 499.00,翁嘉颀,Openfind 资深副总经理，台湾大学资讯工程系毕业，纽约州立大学硕士,"本期嘉宾：翁嘉颀 Openfind 资深副总经理，台湾大学资讯工程系毕业，纽约州立大学硕士 从 12 岁开始坐在电脑前面，18岁开始编程，至今编程超过 26 年，用过超过 30 种语言。专长为搜索引擎，邮件安全，邮件系统，Algorithm, AI, Programming language, 以及各种工程师训练将近 20 年。",,No category path,/files/course/2014/12-08/152340c76e9d050151.png?osf_v5.1.7,No video length,No start date,No end date,No expire date,no 3rd platform,no teacher rating,school URL,school Name,type,stars-5,(5人),304人,课程背景 C语言仍然是目前最常见的编程语言，同时也是相对难以掌握的编程语言。本课程通过具体详解每一个C语言中的难点，力争使学员能具备使用C语言开发具体项目的能力。翁嘉颀老师拥有26年的编程经验，C语言功底深厚，讲课风格深入浅出，值得学习。,"课程大纲 第一课 Array and Pointer 第一讲 变量与地址 [ Variable Value and Address ] 第二讲 数组与地址 [ Array and Address ] 第三讲 Call Stack 第四讲 String Address 第二课 Malloc and A Simple Sample (double linked list) 第一讲 malloc and free 及应用1：Linked-list 第二讲：malloc与free的应用2：Sorted double linked-list 第三讲 malloc与free应用3：Hash table 第三课 File I/O (fread, fgets, fgetc, fscanf, fwrite, fputs, fputc, fprintf...) 第一讲：File I/O and File Encoding：常见的 C File I/O 第二讲：File I/O and File Encoding ：读取File内容 第三讲：File I/O and File Encoding：File Encoding 第四课 Multi-Thread 概念 第一讲：Process and Thread 的差别, 以及如何控制 process 第二讲：Multi-thread programming 的各种陷阱 第三讲：Thread / Process Synchronization 第五课 Multi-Thread 在 Windows 的应用 第一讲：Kernel object, Process, and Thread in Windows 第二讲：Critical Section 第三讲：Wait 以及 Mutex 第四讲：Event 第五讲：Semaphore 第六讲：Sleeping Barber 设计以及 Solid programming 概念 第七讲：Sleeping Barber 编程表演 第六课 Multi-Thread 在 Linux 的应用 第一讲： Linux Process and Thread 第二讲：Mutex, Share-Exculsive Lock, File Lock 第三讲：Condition Variable, Signal 第四讲：Semaphore 以及学习总结 第七课 Defensive programming in C 第八课 Memory Management 实作 第九课 IPC (Inter-Process Communication) 第十课 Solid Programming (已经与第五课合并)",http://www.osforce.cn/course/279,instruction,collected_count,purchased_count
